Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"An authorization model for collaborative access control","Journal of Zhejiang University SCIENCE C","","11","9","10.1631/jzus.C0910564","Chen-hua MaGuo-dong LuJiong Qiu","2010","http://link.springer.com/article/10.1631/jzus.C0910564","Article"
"How Financial Oversight Failed & What it May Portend for the Future of Regulation","Atlantic Economic Journal","","38","3","10.1007/s11293-010-9237-z","Richard John Herring","2010","http://link.springer.com/article/10.1007/s11293-010-9237-z","Article"
"IHE cross-enterprise document sharing for imaging: interoperability testing software","Source Code for Biology and Medicine","","5","1","10.1186/1751-0473-5-9","Rita NoumeirBérubé Renaud","2010","http://link.springer.com/article/10.1186/1751-0473-5-9","Article"
"Conception approach of access control in heterogeneous information systems using UML","Telecommunication Systems","","45","2 - 3","10.1007/s11235-009-9243-0","Aneta Poniszewska-Maranda","2010","http://link.springer.com/article/10.1007/s11235-009-9243-0","Article"
"Information system security compliance to FISMA standard: a quantitative measure","Telecommunication Systems","","45","2 - 3","10.1007/s11235-009-9248-8","Elaine HulittRayford B. Vaughn","2010","http://link.springer.com/article/10.1007/s11235-009-9248-8","Article"
"An approach to capture authorisation requirements in business processes","Requirements Engineering","","15","4","10.1007/s00766-010-0103-y","Christian WolterChristoph Meinel","2010","http://link.springer.com/article/10.1007/s00766-010-0103-y","Article"
"Executive compensation, supervisory board, and China’s governance reform: a legal approach perspective","Review of Quantitative Finance and Accounting","","35","4","10.1007/s11156-010-0168-1","Shujun DingZhenyu WuYuanshun LiChunxin Jia","2010","http://link.springer.com/article/10.1007/s11156-010-0168-1","Article"
"Regulation by disclosure: the case of internal control","Journal of Management & Governance","","14","4","10.1007/s10997-009-9106-9","Laura F. SpiraMichael Page","2010","http://link.springer.com/article/10.1007/s10997-009-9106-9","Article"
"Designing for Trust: A Case of Value-Sensitive Design","Knowledge, Technology & Policy","","23","3 - 4","10.1007/s12130-010-9130-8","Pieter E. VermaasYao-Hua TanJeroen van den HovenBrigitte BurgemeestreJoris Hulstijn","2010","http://link.springer.com/article/10.1007/s12130-010-9130-8","Article"
"Integrating constraints to support legally flexible business processes","Information Systems Frontiers","","13","2","10.1007/s10796-009-9190-z","Yuqing SunJoshua Zhexue HuangXiangxu Meng","2011","http://link.springer.com/article/10.1007/s10796-009-9190-z","Article"
"Remote Patient Monitoring Within a Future 5G Infrastructure","Wireless Personal Communications","","57","3","10.1007/s11277-010-0078-5","Vladimir OleshchukRune Fensli","2011","http://link.springer.com/article/10.1007/s11277-010-0078-5","Article"
"A declarative two-level framework to specify and verify workflow and authorization policies in service-oriented architectures","Service Oriented Computing and Applications","","5","2","10.1007/s11761-010-0073-4","Michele BarlettaSilvio RaniseLuca Viganò","2011","http://link.springer.com/article/10.1007/s11761-010-0073-4","Article"
"Improving automotive embedded systems engineering at European level","e & i Elektrotechnik und Informationstechnik","","128","6","10.1007/s00502-011-0003-y","G. GriessnigI. KundnerE. ArmengaudS. TorchiaroD. Karlsson","2011","http://link.springer.com/article/10.1007/s00502-011-0003-y","Article"
"Concrete- and abstract-based access control","International Journal of Information Security","","10","4","10.1007/s10207-011-0138-1","Yacine BouzidaLuigi LogrippoSerge Mankovski","2011","http://link.springer.com/article/10.1007/s10207-011-0138-1","Article"
"Accounting scandals in the context of corporate social reporting","Journal of Database Marketing & Customer Strategy Management","","18","3","10.1057/dbm.2011.25","Nousheen Tariq BhuttaMuhammed Mohtsham Saeed","2011","http://link.springer.com/article/10.1057/dbm.2011.25","Article"
"A Formal Methodology for Detecting Managerial Vulnerabilities and Threats in an Enterprise Information System","Journal of Network and Systems Management","","19","3","10.1007/s10922-010-9180-y","Anirban SenguptaChandan MazumdarAditya Bagchi","2011","http://link.springer.com/article/10.1007/s10922-010-9180-y","Article"
"RiskM: A multi-perspective modeling method for IT risk assessment","Information Systems Frontiers","","13","4","10.1007/s10796-010-9235-3","Stefan StreckerDavid HeiseUlrich Frank","2011","http://link.springer.com/article/10.1007/s10796-010-9235-3","Article"
"The SOX compliance journey at Trinity Industries","Journal of Information Technology Teaching Cases","","1","2","10.1057/jittc.2011.11","Ulrike Schultze","2011","http://link.springer.com/article/10.1057/jittc.2011.11","Article"
"An Academic Publisher’s Response to Plagiarism","Journal of Business Ethics","","102","3","10.1007/s10551-011-0827-8","Bruce R. LewisJonathan E. DuchacS. Douglas Beets","2011","http://link.springer.com/article/10.1007/s10551-011-0827-8","Article"
"Value-based argumentation for justifying compliance","Artificial Intelligence and Law","","19","2 - 3","10.1007/s10506-011-9113-4","Brigitte BurgemeestreJoris HulstijnYao-Hua Tan","2011","http://link.springer.com/article/10.1007/s10506-011-9113-4","Article"
"Inconsistency resolving of safety and utility in access control","EURASIP Journal on Wireless Communications and Networking","","2011","1","10.1186/1687-1499-2011-101","Jianfeng LuRuixuan LiJinwei HuDewu Xu","2011","http://link.springer.com/article/10.1186/1687-1499-2011-101","Article"
"A human-centric runtime framework for mixed service-oriented systems","Distributed and Parallel Databases","","29","5 - 6","10.1007/s10619-011-7081-z","Daniel Schall","2011","http://link.springer.com/article/10.1007/s10619-011-7081-z","Article"
"Toward role-based provisioning and access control for infrastructure as a service (IaaS)","Journal of Internet Services and Applications","","2","3","10.1007/s13174-011-0035-x","Dongwan ShinHakan AkkanWilliam ClaycombKwanjoong Kim","2011","http://link.springer.com/article/10.1007/s13174-011-0035-x","Article"
"Combining UML, ASTD and B for the formal specification of an access control filter","Innovations in Systems and Software Engineering","","7","4","10.1007/s11334-011-0166-z","J. MilhauA. IdaniR. LaleauM. A. LabiadhY. LedruM. Frappier","2011","http://link.springer.com/article/10.1007/s11334-011-0166-z","Article"
"The selection of supply chain management projects: A case study approach","Operations Management Research","","4","3 - 4","10.1007/s12063-011-0058-2","Richard G. MathieuRaktim Pal","2011","http://link.springer.com/article/10.1007/s12063-011-0058-2","Article"
"Comparing gender awareness in Dutch and Swedish first-year medical students - results from a questionaire","BMC Medical Education","","12","1","10.1186/1472-6920-12-3","Jenny AnderssonPetra VerdonkEva E JohanssonToine Lagro-JanssenKatarina Hamberg","2012","http://link.springer.com/article/10.1186/1472-6920-12-3","Article"
"A relational database integrity framework for access control policies","Journal of Intelligent Information Systems","","38","1","10.1007/s10844-010-0146-z","Romuald ThionStéphane Coulondre","2012","http://link.springer.com/article/10.1007/s10844-010-0146-z","Article"
"Should those charged with corporate governance care about auditor offshoring?","International Journal of Disclosure and Governance","","9","1","10.1057/jdg.2011.11","Denise DickinsBrian Daugherty","2012","http://link.springer.com/article/10.1057/jdg.2011.11","Article"
"Specializing network analysis to detect anomalous insider actions","Security Informatics","","1","1","10.1186/2190-8532-1-5","You ChenSteve NyembaWen ZhangBradley Malin","2012","http://link.springer.com/article/10.1186/2190-8532-1-5","Article"
"Changing the game of outsourcing – the Microsoft OneFinance case","Journal of Information Technology Teaching Cases","","2","1","10.1057/jittc.2012.2","Kate VitasekKarl ManrodtSrinivas Krishna","2012","http://link.springer.com/article/10.1057/jittc.2012.2","Article"
"On compliance checking for clausal constraints in annotated process models","Information Systems Frontiers","","14","2","10.1007/s10796-009-9179-7","Jörg HoffmannIngo WeberGuido Governatori","2012","http://link.springer.com/article/10.1007/s10796-009-9179-7","Article"
"A middleware for assured clouds","Journal of Internet Services and Applications","","3","1","10.1007/s13174-011-0044-9","Roy H. CampbellMirko MontanariReza Farivar","2012","http://link.springer.com/article/10.1007/s13174-011-0044-9","Article"
"Internal control material weakness, analysts’ accuracy and bias, and brokerage reputation","Review of Quantitative Finance and Accounting","","39","1","10.1007/s11156-011-0243-2","Li XuAlex P. Tang","2012","http://link.springer.com/article/10.1007/s11156-011-0243-2","Article"
"Reforming governance of ‘too big to fail’ banks: The prudent investor RULE and enhanced governance disclosures by bank boards of directors","Journal of Banking Regulation","","13","3","10.1057/jbr.2011.25","Michael AllesJohn Friedland","2012","http://link.springer.com/article/10.1057/jbr.2011.25","Article"
"The design of a redundant array of independent net-storages for improved confidentiality in cloud computing","Journal of Cloud Computing: Advances, Systems and Applications","","1","1","10.1186/2192-113X-1-13","Martin Gilje JaatunGansen ZhaoAthanasios V VasilakosÅsmund Ahlmann NyreStian AlapnesYong Tang","2012","http://link.springer.com/article/10.1186/2192-113X-1-13","Article"
"Reference deployment models for eliminating user concerns on cloud security","The Journal of Supercomputing","","61","2","10.1007/s11227-010-0460-9","Gansen ZhaoChunming RongMartin Gilje JaatunFrode Eika Sandnes","2012","http://link.springer.com/article/10.1007/s11227-010-0460-9","Article"
"Cyber-attacks on ERP systems","Datenschutz und Datensicherheit - DuD","","36","9","10.1007/s11623-012-0220-5","Mariano Nunez","2012","http://link.springer.com/article/10.1007/s11623-012-0220-5","Article"
"RBAC-Matrix-Based EMR Right Management System to Improve HIPAA Compliance","Journal of Medical Systems","","36","5","10.1007/s10916-011-9776-0","Hung-Chang LeeShih-Hsin Chang","2012","http://link.springer.com/article/10.1007/s10916-011-9776-0","Article"
"Threat Modeling for Electronic Health Record Systems","Journal of Medical Systems","","36","5","10.1007/s10916-011-9770-6","Ahmad Almulhem","2012","http://link.springer.com/article/10.1007/s10916-011-9770-6","Article"
"Generalizability and Applicability of Model-Based Business Process Compliance-Checking Approaches — A State-of-the-Art Analysis and Research Roadmap","Business Research","","5","2","10.1007/BF03342739","Jörg BeckerPatrick DelfmannMathias EggertSebastian Schwittay","2012","http://link.springer.com/article/10.1007/BF03342739","Article"
"Multi-level delegations with trust management in access control systems","Journal of Intelligent Information Systems","","39","3","10.1007/s10844-012-0205-8","Min LiXiaoxun SunHua WangYanchun Zhang","2012","http://link.springer.com/article/10.1007/s10844-012-0205-8","Article"
"Problems and prospects of regional demographic fertility policy","Regional Research of Russia","","3","1","10.1134/S2079970513010103","O. V. Shipunova","2013","http://link.springer.com/article/10.1134/S2079970513010103","Article"
"Optimierte Transparenz durch risikobasierte Berechtigungsvergabe","Wirtschaftsinformatik & Management","","5","1","10.1365/s35764-013-0262-y","Jürgen PfannensteinRobert Schardt","2013","http://link.springer.com/article/10.1365/s35764-013-0262-y","Article"
"Factors of accepting pain management decision support systems by nurse anesthetists","BMC Medical Informatics and Decision Making","","13","1","10.1186/1472-6947-13-16","Ju-Ling HsiaoWen-Chu WuRai-Fu Chen","2013","http://link.springer.com/article/10.1186/1472-6947-13-16","Article"
"Tokenbasierte Systeme für höchste Sicherheits- und Compliance-Anforderungen","HMD Praxis der Wirtschaftsinformatik","","50","1","10.1007/BF03340779","Dr. Stefan Beißel","2013","http://link.springer.com/article/10.1007/BF03340779","Article"
"Qualitätssicherung im Identity- und Access Management","HMD Praxis der Wirtschaftsinformatik","","50","1","10.1007/BF03340780","Dr. Ludwig FuchsProf. Dr. Günther Pernul","2013","http://link.springer.com/article/10.1007/BF03340780","Article"
"Geschäftsprozessorientierte Prüfung von IT-Systemen","HMD Praxis der Wirtschaftsinformatik","","50","1","10.1007/BF03340775","Dipl.-Wirt.-Inf. Martin SchultzDipl.-Wirt.-Inf. Niels Müller-WickopDipl.-Wirt.-Inf. Michael WernerProf. Dr. Markus Nüttgens","2013","http://link.springer.com/article/10.1007/BF03340775","Article"
"An analysis of security issues for cloud computing","Journal of Internet Services and Applications","","4","1","10.1186/1869-0238-4-5","Keiko HashizumeDavid G RosadoEduardo Fernández-MedinaEduardo B Fernandez","2013","http://link.springer.com/article/10.1186/1869-0238-4-5","Article"
"Domain-specific language for event-based compliance monitoring in process-driven SOAs","Service Oriented Computing and Applications","","7","1","10.1007/s11761-012-0121-3","Emmanuel MuloUwe ZdunSchahram Dustdar","2013","http://link.springer.com/article/10.1007/s11761-012-0121-3","Article"
"Taking value-networks to the cloud services: security services, semantics and service level agreements","Information Systems and e-Business Management","","11","1","10.1007/s10257-011-0186-0","Haluk DemirkanMichael Goul","2013","http://link.springer.com/article/10.1007/s10257-011-0186-0","Article"
"A framework for establishing trust in Cloud provenance","International Journal of Information Security","","12","2","10.1007/s10207-012-0179-0","Imad M. Abbadi","2013","http://link.springer.com/article/10.1007/s10207-012-0179-0","Article"
"Least privilege analysis in software architectures","Software & Systems Modeling","","12","2","10.1007/s10270-011-0218-8","Koen BuyensRiccardo ScandariatoWouter Joosen","2013","http://link.springer.com/article/10.1007/s10270-011-0218-8","Article"
"Synthetic Hardware Performance Analysis in Virtualized Cloud Environment for Healthcare Organization","Journal of Medical Systems","","37","4","10.1007/s10916-013-9950-7","Chee-Heng TanYing-Wah Teh","2013","http://link.springer.com/article/10.1007/s10916-013-9950-7","Article"
"Visualization-based policy analysis for SELinux: framework and user study","International Journal of Information Security","","12","3","10.1007/s10207-012-0180-7","Wenjuan XuMohamed ShehabGail-Joon Ahn","2013","http://link.springer.com/article/10.1007/s10207-012-0180-7","Article"
"Corruption and Internal Fraud in the Turkish Construction Industry","Science and Engineering Ethics","","19","2","10.1007/s11948-012-9356-9","Murat GunduzOytun Önder","2013","http://link.springer.com/article/10.1007/s11948-012-9356-9","Article"
"Pseudonymization of patient identifiers for translational research","BMC Medical Informatics and Decision Making","","13","1","10.1186/1472-6947-13-75","Harald AamotChristian Dominik KohlDaniela RichterPetra Knaup-Gregori","2013","http://link.springer.com/article/10.1186/1472-6947-13-75","Article"
"Computergestützte Prozessauditierung mit Process Mining","HMD Praxis der Wirtschaftsinformatik","","50","4","10.1007/BF03340838","Thomas Stocker M.Sc.Dr.-Ing. Rafael AccorsiTobias Rother","2013","http://link.springer.com/article/10.1007/BF03340838","Article"
"Value-based argumentation for designing and auditing security measures","Ethics and Information Technology","","15","3","10.1007/s10676-013-9325-2","Brigitte BurgemeestreJoris HulstijnYao-Hua Tan","2013","http://link.springer.com/article/10.1007/s10676-013-9325-2","Article"
"The RBAC model and implementation architecture in multi-domain environment","Electronic Commerce Research","","13","3","10.1007/s10660-013-9123-2","Zan YangJian-xin WangLin YangRui-guang YangBao-sheng KouJie-kun ChenShu-mei Yang","2013","http://link.springer.com/article/10.1007/s10660-013-9123-2","Article"
"The Secure Authorization Model for Healthcare Information System","Journal of Medical Systems","","37","5","10.1007/s10916-013-9974-z","Wen-Shin HsuJiann-I Pan","2013","http://link.springer.com/article/10.1007/s10916-013-9974-z","Article"
"Contract RBAC in cloud computing","The Journal of Supercomputing","","66","2","10.1007/s11227-013-1017-5","Hsing-Chung (Jack) ChenMarsha Anjanette ViolettaCheng-Ying Yang","2013","http://link.springer.com/article/10.1007/s11227-013-1017-5","Article"
"A pattern-based method for establishing a cloud-specific information security management system","Requirements Engineering","","18","4","10.1007/s00766-013-0174-7","Kristian BeckersIsabelle CôtéStephan FaßbenderMaritta HeiselStefan Hofbauer","2013","http://link.springer.com/article/10.1007/s00766-013-0174-7","Article"
"Towards full network virtualization in horizontal IaaS federation: security issues","Journal of Cloud Computing: Advances, Systems and Applications","","2","1","10.1186/2192-113X-2-19","Anant V NimkarSoumya K Ghosh","2013","http://link.springer.com/article/10.1186/2192-113X-2-19","Article"
"Verification and enforcement of access control policies","Formal Methods in System Design","","43","3","10.1007/s10703-013-0187-3","Antonio CauHelge JanickeBen Moszkowski","2013","http://link.springer.com/article/10.1007/s10703-013-0187-3","Article"
"SOA-enabled compliance management: instrumenting, assessing, and analyzing service-based business processes","Service Oriented Computing and Applications","","7","4","10.1007/s11761-013-0129-3","Carlos RodríguezDaniel SchleicherFlorian DanielFabio CasatiFrank LeymannSebastian Wagner","2013","http://link.springer.com/article/10.1007/s11761-013-0129-3","Article"
"Corporate IT transformation at BARCO","Journal of Information Technology Teaching Cases","","3","2","10.1057/jittc.2013.5","Stijn ViaeneÖykü Işık","2013","http://link.springer.com/article/10.1057/jittc.2013.5","Article"
"Crowdsourcing tasks to social networks in BPEL4People","World Wide Web","","17","1","10.1007/s11280-012-0180-6","Daniel SchallBenjamin SatzgerHarald Psaier","2014","http://link.springer.com/article/10.1007/s11280-012-0180-6","Article"
"Novel pervasive scenarios for home management: the Butlers architecture","SpringerPlus","","3","1","10.1186/2193-1801-3-52","Enrico Denti","2014","http://link.springer.com/article/10.1186/2193-1801-3-52","Article"
"Authorized workflow schemas: deciding realizability through 
                
                  
                
                $$\mathsf{LTL }(\mathsf{F })$$
               model checking","International Journal on Software Tools for Technology Transfer","","16","1","10.1007/s10009-012-0269-3","Jason CramptonMichael HuthJim Huan-Pu Kuo","2014","http://link.springer.com/article/10.1007/s10009-012-0269-3","Article"
"NPO, Internal Controls, and Supervision Mechanisms in a Developing Country","VOLUNTAS: International Journal of Voluntary and Nonprofit Organizations","","25","1","10.1007/s11266-012-9335-4","Radiah OthmanNorli Ali","2014","http://link.springer.com/article/10.1007/s11266-012-9335-4","Article"
"Middleware for efficient and confidentiality-aware federation of access control policies","Journal of Internet Services and Applications","","5","1","10.1186/1869-0238-5-1","Maarten DecatBert LagaisseWouter Joosen","2014","http://link.springer.com/article/10.1186/1869-0238-5-1","Article"
"The role of Investment Management Systems in regulatory compliance: a Post-Financial Crisis study of displacement mechanisms","Journal of Information Technology","","29","1","10.1057/jit.2013.16","Daniel GozmanWendy Currie","2014","http://link.springer.com/article/10.1057/jit.2013.16","Article"
"Enforcing spatio-temporal access control in mobile applications","Computing","","96","4","10.1007/s00607-013-0340-2","Ramadan AbdunabiWuliang SunIndrakshi Ray","2014","http://link.springer.com/article/10.1007/s00607-013-0340-2","Article"
"Security policy verification for multi-domains in cloud systems","International Journal of Information Security","","13","2","10.1007/s10207-013-0205-x","Antonios GouglidisIoannis MavridisVincent C. Hu","2014","http://link.springer.com/article/10.1007/s10207-013-0205-x","Article"
"The industrial security management model for SMBs in smart work","Journal of Intelligent Manufacturing","","25","2","10.1007/s10845-012-0651-8","Yanghoon KimHangbae Chang","2014","http://link.springer.com/article/10.1007/s10845-012-0651-8","Article"
"SOX implementation can be a savior or a burden: scholars’ & practitioners’ review","GSTF Journal on Computing (JoC)","","3","4","10.7603/s40601-013-0035-8","Tse W K Daniel","2014","http://link.springer.com/article/10.7603/s40601-013-0035-8","Article"
"Dynamic delegation framework for role based access control in distributed data management systems","Distributed and Parallel Databases","","32","2","10.1007/s10619-012-7120-4","Chun RuanVijay Varadharajan","2014","http://link.springer.com/article/10.1007/s10619-012-7120-4","Article"
"The resource access authorization route problem in a collaborative manufacturing system","Journal of Intelligent Manufacturing","","25","3","10.1007/s10845-012-0690-1","Qiang LiuXinhui ZhangXindu ChenLei Wang","2014","http://link.springer.com/article/10.1007/s10845-012-0690-1","Article"
"On the design of a privacy aware authorization engine for collaborative environments","Electronic Markets","","24","2","10.1007/s12525-014-0155-9","Fotios I. GogoulosAnna AntonakopoulouGeorgios V. LioudakisAziz S. MousasDimitra I. KaklamaniIakovos S. Venieris","2014","http://link.springer.com/article/10.1007/s12525-014-0155-9","Article"
"Using a cloud-centric middleware to enable mobile hosting of Web services: mHealth use case","Personal and Ubiquitous Computing","","18","5","10.1007/s00779-013-0721-8","Richard K. LomoteyRalph Deters","2014","http://link.springer.com/article/10.1007/s00779-013-0721-8","Article"
"Modellierungsunterstützung für die rollenbasierte Delegation in prozessgestützten Informationssystemen","WIRTSCHAFTSINFORMATIK","","56","4","10.1007/s11576-014-0433-3","Dr. Sigrid Schefer-WenzlProf. Dr. Mark Strembeck","2014","http://link.springer.com/article/10.1007/s11576-014-0433-3","Article"
"Modeling Support for Role-Based Delegation in Process-Aware Information Systems","Business & Information Systems Engineering","","6","4","10.1007/s12599-014-0343-3","Dr. Sigrid Schefer-WenzlProf. Dr. Mark Strembeck","2014","http://link.springer.com/article/10.1007/s12599-014-0343-3","Article"
"Codes of Ethical Conduct: A Bottom-Up Approach","Journal of Business Ethics","","123","4","10.1007/s10551-013-2013-7","Ronald Paul HillJustine M. Rapp","2014","http://link.springer.com/article/10.1007/s10551-013-2013-7","Article"
"AAnA: Anonymous authentication and authorization based on short traceable signatures","International Journal of Information Security","","13","5","10.1007/s10207-014-0227-z","Sooyeon ShinTaekyoung Kwon","2014","http://link.springer.com/article/10.1007/s10207-014-0227-z","Article"
"Do internal controls improve operating efficiency of universities?","Annals of Operations Research","","221","1","10.1007/s10479-011-0875-6","Rong-Ruey DuhKuo-Tay ChenRuey-Ching LinLi-Chun Kuo","2014","http://link.springer.com/article/10.1007/s10479-011-0875-6","Article"
"Cloud identity management security issues & solutions: a taxonomy","Complex Adaptive Systems Modeling","","2","1","10.1186/s40294-014-0005-9","Umme HabibaRahat MasoodMuhammad Awais ShibliMuaz A Niazi","2014","http://link.springer.com/article/10.1186/s40294-014-0005-9","Article"
"A correlation-driven optimal service selection approach for virtual enterprise establishment","Journal of Intelligent Manufacturing","","25","6","10.1007/s10845-013-0751-0","Quanwang WuQingsheng ZhuMingqiang Zhou","2014","http://link.springer.com/article/10.1007/s10845-013-0751-0","Article"
"It’s not me, it’s you: the functioning of Wall Street during the 2008 economic downturn","Public Choice","","161","3 - 4","10.1007/s11127-014-0198-7","Edward Peter Stringham","2014","http://link.springer.com/article/10.1007/s11127-014-0198-7","Article"
"A roadmap for privacy-enhanced secure data provenance","Journal of Intelligent Information Systems","","43","3","10.1007/s10844-014-0322-7","Elisa BertinoGabriel GhinitaMurat KantarciogluDang NguyenJae ParkRavi SandhuSalmin SultanaBhavani ThuraisinghamShouhuai Xu","2014","http://link.springer.com/article/10.1007/s10844-014-0322-7","Article"
"Internationalisierung mit Feingefühl","Controlling & Management Review","","58","6","10.1365/s12176-014-1047-8","Prof. Dr. Andreas HoffjanDr. Matthias Sure","2014","http://link.springer.com/article/10.1365/s12176-014-1047-8","Article"
"Abnormal audit fees and audit quality: initial evidence from the German audit market","Journal of Business Economics","","85","1","10.1007/s11573-014-0709-5","Patrick KraußPaul PronobisHenning Zülch","2015","http://link.springer.com/article/10.1007/s11573-014-0709-5","Article"
"Did Bank Indonesia cause the credit crunch of 2006–2008?","Review of Quantitative Finance and Accounting","","44","2","10.1007/s11156-013-0406-4","Gandjar MustikaEnny SuryatincMaximilian J. B. HallRichard Simper","2015","http://link.springer.com/article/10.1007/s11156-013-0406-4","Article"
"Schulsozialarbeit im Spannungsfeld heterogener Erwartungen und ambivalenter Abgrenzungsfragen. Implementierung der Schulsozialarbeit der Kinder- und Jugendhilfe OÖ. (KJH OÖ.)","Österreichische Zeitschrift für Soziologie","","40","1","10.1007/s11614-015-0159-5","Martina Beham-RabanserDaniela Wetzelhütter","2015","http://link.springer.com/article/10.1007/s11614-015-0159-5","Article"
"Cloud authorization: exploring techniques and approach towards effective access control framework","Frontiers of Computer Science","","9","2","10.1007/s11704-014-3160-4","Rahat MasoodMuhammad Awais ShibliYumna GhaziAyesha KanwalArshad Ali","2015","http://link.springer.com/article/10.1007/s11704-014-3160-4","Article"
"Research and development on key models and technology of PDM system","The International Journal of Advanced Manufacturing Technology","","78","9 - 12","10.1007/s00170-014-6765-8","Hongtao TangShunsheng GuoLang HuangLi LiYibing Li","2015","http://link.springer.com/article/10.1007/s00170-014-6765-8","Article"
"Managers’ Unethical Fraudulent Financial Reporting: The Effect of Control Strength and Control Framing","Journal of Business Ethics","","129","2","10.1007/s10551-014-2156-1","Xiaotao Kelvin LiuArnold M. WrightYi-Jing Wu","2015","http://link.springer.com/article/10.1007/s10551-014-2156-1","Article"
"Handling least privilege problem and role mining in RBAC","Journal of Combinatorial Optimization","","30","1","10.1007/s10878-013-9633-9","Hejiao HuangFeng ShangJinling LiuHongwei Du","2015","http://link.springer.com/article/10.1007/s10878-013-9633-9","Article"
"Earnings quality, internal control weaknesses and industry-specialist audits","Review of Quantitative Finance and Accounting","","45","1","10.1007/s11156-013-0431-3","Bikki JaggiSantanu MitraMahmud Hossain","2015","http://link.springer.com/article/10.1007/s11156-013-0431-3","Article"
"Integrity-OrBAC: a new model to preserve Critical Infrastructures integrity","International Journal of Information Security","","14","4","10.1007/s10207-014-0254-9","Abdeljebar Ameziane El HassaniAnas Abou El KalamAdel BouhoulaRyma AbassiAbdellah Ait Ouahman","2015","http://link.springer.com/article/10.1007/s10207-014-0254-9","Article"
"Evolutionary model building under streaming data for classification tasks: opportunities and challenges","Genetic Programming and Evolvable Machines","","16","3","10.1007/s10710-014-9236-y","Malcolm I. Heywood","2015","http://link.springer.com/article/10.1007/s10710-014-9236-y","Article"
"Governance Mechanisms in the Malaysian Banking Sector: Mitigation of Fraud Occurrence","Asian Journal of Criminology","","10","3","10.1007/s11417-015-9211-4","Zuraidah Mohd-SanusiMohd Nor Firdaus RameliNormah OmarMichihiro Ozawa","2015","http://link.springer.com/article/10.1007/s11417-015-9211-4","Article"
"Information Relevance Model of Customized Privacy for IoT","Journal of Business Ethics","","131","1","10.1007/s10551-014-2248-y","Wei ZhouSelwyn Piramuthu","2015","http://link.springer.com/article/10.1007/s10551-014-2248-y","Article"
"The Banking Union and the Governance of Credit Institutions: A Legal Perspective","European Business Organization Law Review","","16","3","10.1007/s40804-015-0015-x","Jens-Hinrich Binder","2015","http://link.springer.com/article/10.1007/s40804-015-0015-x","Article"
"An Overview of the Change Management Process and Examples of Software to Help Organizations Effectively Manage Change","GSTF Journal on Business Review (GBR)","","4","1","10.7603/s40706-015-0001-x","Noema “Amy” SantosWill Quilliam","2015","http://link.springer.com/article/10.7603/s40706-015-0001-x","Article"
"An Attribute-Role Based Access Control Mechanism for Multi-tenancy Cloud Environment","Wireless Personal Communications","","84","3","10.1007/s11277-015-2515-y","Nai Wei LoTa Chih YangMing Huang Guo","2015","http://link.springer.com/article/10.1007/s11277-015-2515-y","Article"
"A multi-agent cooperative reinforcement learning model using a hierarchy of consultants, tutors and workers","Vietnam Journal of Computer Science","","2","4","10.1007/s40595-015-0045-x","Bilal H. Abed-alguniStephan K. ChalupFrans A. HenskensDavid J. Paul","2015","http://link.springer.com/article/10.1007/s40595-015-0045-x","Article"
"Corporate Social Responsibility Enhanced Control Systems Reducing the Likelihood of Fraud","Journal of Business Ethics","","131","4","10.1007/s10551-014-2152-5","Waymond RodgersArne SöderbomAndrés Guiral","2015","http://link.springer.com/article/10.1007/s10551-014-2152-5","Article"
"The central dialysis fluid delivery system (CDDS): is it specialty in Japan?","Renal Replacement Therapy","","2","1","10.1186/s41100-016-0016-4","Hideki KawanishiMisaki MoriishiNaoko TakahashiShinichiro Tsuchiya","2016","http://link.springer.com/article/10.1186/s41100-016-0016-4","Article"
"Formalizing and appling compliance patterns for business process compliance","Software & Systems Modeling","","15","1","10.1007/s10270-014-0395-3","Amal ElgammalOktay TuretkenWillem-Jan van den HeuvelMike Papazoglou","2016","http://link.springer.com/article/10.1007/s10270-014-0395-3","Article"
"A uniform approach for access control and business models with explicit rule realization","International Journal of Information Security","","15","2","10.1007/s10207-015-0275-z","Vahid R. KarimiPaulo S. C. AlencarDonald D. Cowan","2016","http://link.springer.com/article/10.1007/s10207-015-0275-z","Article"
"SATMC: a SAT-based model checker for security protocols, business processes, and security APIs","International Journal on Software Tools for Technology Transfer","","18","2","10.1007/s10009-015-0385-y","Alessandro ArmandoRoberto CarboneLuca Compagna","2016","http://link.springer.com/article/10.1007/s10009-015-0385-y","Article"
"A trusted user-to-role and role-to-key access control scheme","Soft Computing","","20","5","10.1007/s00500-015-1715-4","Hsing-Chung Chen","2016","http://link.springer.com/article/10.1007/s00500-015-1715-4","Article"
"Politic of security, privacy and transparency in human learning systems","Education and Information Technologies","","21","3","10.1007/s10639-014-9336-6","Adil JeghalLahcen OughdirHamid Tairi","2016","http://link.springer.com/article/10.1007/s10639-014-9336-6","Article"
"Exploring strategic planning outcomes: the influential role of top versus middle management participation","Journal of Management Control","","27","2 - 3","10.1007/s00187-016-0230-9","Thomas SchaeferThomas Guenther","2016","http://link.springer.com/article/10.1007/s00187-016-0230-9","Article"
