"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"An optimized approach for the improvement of CMMI in Human resource management using multi objective genetic algorithms","D. Sundar; B. Umadevi; K. Alagarsamy","Thiagarajar School of Management, Madurai, India; Raja Durai Singam Government College, Sivagangai, India; Computer Centre, MK University, Madurai, India","2010 Second International conference on Computing, Communication and Networking Technologies","30 Sep 2010","2010","","","1","5","Capability Maturity Model Integration (CMMI) helps organizations to improve software development processes. But it contains very little information on process dynamics. It doesn't address the following issues like Specific tools, methods and technologies to be followed, Issues in Human resource management, People management methodology and cost attached to people manager. In this paper we focus on the real world problem in the systems development life cycle such as Organizations understaffed, Separation of duties. In order to overcome the problem we have suggested a Multi objective genetic algorithm (MOGA) for recruitment of the staff, Allocation of Jobs based on the skills they posses. MOGA has been used to minimize the cost associated, minimize the time involved and to maximize the efficiency by proper usage. The results compared with the manual assignment and the comparative results are reported and discussed, which shows the effectiveness of the proposed approach.","","978-1-4244-6592-7","10.1109/ICCCNT.2010.5591874","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5591874","CMMI;MOGA;HRM;etc","Resource management;Humans;Optimization;Biological cells;Scheduling;Organizations;Standards organizations","Capability Maturity Model;genetic algorithms;human resource management","capability maturity model integration;human resource management;multi objective genetic algorithms;software development processes;people management methodology;MOGA;CMMI","","","","13","IEEE","30 Sep 2010","","","IEEE","IEEE Conferences"
"Translating High-Level Authorization Constraints to XACML","C. Alm; R. Illig","Steria Mummert Consulting, Germany; University of Hamburg, Germany","2010 6th World Congress on Services","16 Sep 2010","2010","","","629","636","XACML has become a standard access control policy language in web service environments. However, there is still no feasible solution for XACML policy administration and validation that overcomes the complexity and verbosity of XACML, in particular with regard to high-level access control principles such as history-based separation of duty. Hence, XACML policy management is still difficult and error-prone. In order to solve this problem, we present a translation approach from the high-level declarative access control policy language OPL to XACML. Thereby we can, on the one hand, handle the complexity of the administration of policies including advanced authorization constraints. On the other hand, we are able to keep an XACML based enforcement environment which may be already in place.","2378-3818","978-1-4244-8199-6","10.1109/SERVICES.2010.62","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5575512","XACML;RBAC;Separation of Duty;Translation;OPL","Authorization;Semantics;Contracts;Data structures;Complexity theory;XML","authorisation;Web services;XML","high-level authorization constraints;XACML;access control policy language;web service","","3","","27","IEEE","16 Sep 2010","","","IEEE","IEEE Conferences"
"Decentralized XACML Overlay Network","A. Alzahrani; H. Janicke; S. Abubaker","Software Technology Research Laboratory, De Montfort University, Leicester, UK; Software Technology Research Laboratory, De Montfort University, Leicester, UK; Software Technology Research Laboratory, De Montfort University, Leicester, UK","2010 10th IEEE International Conference on Computer and Information Technology","16 Sep 2010","2010","","","1032","1037","We propose a novel approach for the collaborative enforcement of security policies in distributed systems that is based on the dynamic (re-) deployment of multiple PDPs. The policies enforced by the collaborating PDPs are analysed and decomposed from a system wide policy as present in current centralized approaches. The security policy is decomposed into sub-policies based on an object domain approach so the decisions are local to the object's domain. The classes of policies investigated are dynamic history-based access control policies, ie. the PDPs decision is dependent on the history of interaction between users and system resources. This type of policy can capture static and dynamic separation of duty policies, as are commonly found in commercial organisations. The distribution model of the PDP allows for the coordination and synchronisation of PDPs on the basis of events, where a decision is based on a previous history originating from other PDPs. The key contribution of this paper is the analysis of temporal dependencies between policies and an efficient PDP distribution strategy for object-based distributed systems as well as presenting a designed library that create and synchronize a network of PDP's in a peer to peer fashion.","","978-1-4244-7548-3","10.1109/CIT.2010.189","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5578621","collaborative policy enforcement;decentralised policy enforcement;PDPs coordination","Synchronization;Access control;Libraries;History;Prototypes;Decision making","authorisation;distributed processing;groupware;XML","decentralized XACML overlay network;security policy;object-based distributed system;multiple PDP;object domain approach;dynamic history-based access control;collaborative policy enforcement","","4","","15","IEEE","16 Sep 2010","","","IEEE","IEEE Conferences"
"Available Separation-of-Duty Policies in Access Control","B. Wang; G. Zhao; J. Liu; X. Zhang","College of Computer and Information Technology, Nanyang Normal University, Nanyang, Henan, China; College of Computer and Information Technology, Nanyang Normal University, Nanyang, Henan, China; Teaching Affairs Office, Yunnan Nationalities University, Kunming, Yunnan, China; College of Computer and Information Technology, Nanyang Normal University, Nanyang, Henan, China","2010 Second International Conference on Networks Security, Wireless Communications and Trusted Computing","7 Jun 2010","2010","1","","290","293","A separation-of-duty (SoD) policy requires a sensitive task to be performed by a set of users of size no less than some threshold. Such focus on safety properties probably stems from the fact that access control has been mostly viewed as a tool for restricting access. An equally important aspect of access control is the availability properties about enabling access. One example is an availability policy, which states that the cooperation of at most a certain number of users is required to successfully complete a task. In many situations, both safety and availability properties are required in the context of access control, though conflicts may arise due to their opposite focuses. In this paper, we combine a static SoD policy and an availability policy to introduce the available static SoD (ASSoD) policies to capture both of the safety and availability properties. We present the computational complexity of the satisfy checking problem of ASSoD policies, and show that it is intractable (both coNP-complete and NPcomplete) to checking whether an access control state satisfy an ASSoD policy. We also show that not all size-2 ASSoD policy set are composable, and study the composition properties of ASSoD policies.","","978-1-4244-6598-9","10.1109/NSWCTC.2010.73","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5480680","Access Control;safety;availability;separation-ofduty","Access control;Safety;Permission;Availability;Computer networks;Educational institutions;Information technology;Computer security;Information security;National security","authorisation;computational complexity;safety-critical software","access control;separation of duty policies;availability policy;safety properties;computational complexity","","1","","11","IEEE","7 Jun 2010","","","IEEE","IEEE Conferences"
"Research of TRBAC model and the application in library management","W. Huang; L. Wang","College of Information and Electrical Engineering, Hebei University of Engineering, Handan, Hebei, China; College of Information and Electrical Engineering, Hebei University of Engineering, Handan, Hebei, China","2010 2nd IEEE International Conference on Information Management and Engineering","3 Jun 2010","2010","","","337","339","Access control is an important part of the information system security in life, but traditional models can not meet the changeful information requirements, so the paper proposes task-Role-based Access Control Model TRBAC to meet the rapid development of science and technology in the Library Information Management System's needs. The model solves the shortcomings that flexibility of role-based access control model RBAC is not enough, and enhances the system security through time constraints, the minimum privilege constraints and separation of duties constraints. At last, it detailed the application of TRBAC model in library management for example.","","978-1-4244-5263-7","10.1109/ICIME.2010.5478031","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5478031","role-task;time constraints;authorization restriction;TRBAC","Libraries;Authorization;Access control;Information security;Permission;Time factors;Management information systems;ISO standards;Switches;Engineering management","authorisation;libraries;management information systems","TRBAC model;information system security;task-role-based access control model;library information management system;system security","","","","7","IEEE","3 Jun 2010","","","IEEE","IEEE Conferences"
"Managing Internal Control in Changing Organizations through Business Process Intelligence - A Service Oriented Architecture for the XACML Based Monitoring of Supporting Systems","M. Kehlenbeck; T. Sandner; M. H. Breitner","Leibniz Universität Hannover, Germany; Leibniz Universität Hannover, Germany; Leibniz Universität Hannover, Germany","2010 43rd Hawaii International Conference on System Sciences","11 Mar 2010","2010","","","1","10","Organizations respond to opportunities and risks by strategic decisions. Strategic decisions ensure the sustainable existence of organizations, but require continuous organizational change. Organizational change includes the redesign of business processes. Processes are subject to internal and external requirements. Requirements include the alignment to strategic goals, the effective and efficient use of resources and the compliance with applicable laws and regulations. Their achievement is assured by embedding internal controls into processes. Many controls can be incorporated into supporting systems, as their access control functions allow the modeling of authorization and segregation of duties. A model for the annotation of processes with controls, permissions and roles based on BPMN, COSO and XACML is presented. Additionally, a Service Oriented Architecture for the automated monitoring of controls and the timely communication of thereby detected control exceptions is proposed. The benefits of the approach are demonstrated in a prototype implementation and a corresponding case study.","1530-1605","978-1-4244-5510-2","10.1109/HICSS.2010.262","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5428589","","Control systems;Service oriented architecture;Automatic control;Process control;Communication system control;Access control;Authorization;Permission;Computerized monitoring;Prototypes","authorisation;business data processing;competitive intelligence;decision support systems;risk management;strategic planning;system monitoring","internal control management;business process intelligence;service oriented architecture;XACML based monitoring;supporting systems;strategic decisions;organizational change;business processes redesign;BPMN;COSO;access control","","3","","45","IEEE","11 Mar 2010","","","IEEE","IEEE Conferences"
"An algorithm for role mapping across multi-domains employing RBAC","W. Xiaoqing; G. Tianyang; G. Yong; Z. Yanxing; Z. Jianjian; G. Bo","Department of Computer Science and Technology, Tsinghua University, Beijing, China; Beijing Institute of System Engineering, Beijing, China; Beijing Institute of System Engineering, Beijing, China; Department of Computer Science and Technology, Tsinghua University, Beijing, China; Beijing Institute of System Engineering, Beijing, China; School of Computer Science and Technology, BeiHang University, Beijing, China","Chinese Journal of Electronics","27 Jan 2023","2009","18","1","37","41","The problem of access control across multiple security domains in data sharing environment is addressed and a rule-based algorithm for role mapping across multi-domains is presented. The algorithm resolves efficiently the conflicts of cyclic inheritance and separation of duties, and the problem of regression inheritance. The algorithm takes the “Least privilege theorem” into account and prohibits accesses from illegal domains. Further more, the algorithm makes the establishment of role mapping across multi-domains more efficiently by preserving historical information of role mapping paths established successfully before, and satisfies preferably the access control requirement across dynamic multi-domains in data sharing environment. Evaluation by access instances shows the efficiency of our algorithm.","2075-5597","","","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10028680","Data sharing;Security domain;Role based access control;Role mapping across multi-domains","Security;Heuristic algorithms;Access control;Broadcasting;Routing;Computer science;Aerospace electronics","","","","","","","","27 Jan 2023","","","CIE","CIE Journals"
"Secure role based access control systems using aspect-orientation designing","M. A. Hazaa; A. A. A. Ghani; A. Mamat; H. Ibrahim","Faculty of Computer Science and Information Technology, Universiti Putra Malaysia, Serdang, Selangor Darul Ehsan, Malaysia; Faculty of Computer Science and Information Technology, Universiti Putra Malaysia, Serdang, Selangor Darul Ehsan, Malaysia; Faculty of Computer Science and Information Technology, Universiti Putra Malaysia, Serdang, Selangor Darul Ehsan, Malaysia; Faculty of Computer Science and Information Technology, Universiti Putra Malaysia, Serdang, Selangor Darul Ehsan, Malaysia","2009 5th IEEE GCC Conference & Exhibition","17 Mar 2011","2009","","","1","5","Security system designs are required to be flexible enough to support multiple policies. A security policy model always develops; accordingly, the design of a security system using that policy model should reflect the changes. Using role-based access control (RBAC) as an example, currently it supports role hierarchy, static separation of duty relations, and dynamic separation of duty relations. As research on RBAC progresses, more concerns have been and will be covered. So the model hierarchy of RBAC is quickly becoming more and more complicated, which requires that the security system supporting RBAC be flexible and extensible. To address this issue at the design level, we propose an aspect-oriented approach to designing flexible and extensible security systems. This paper illustrates the approach through a case study, which is part of a design for CORBA access control (AC) supporting RBAC models.","","978-1-4244-3885-3","10.1109/IEEEGCC.2009.5734277","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5734277","","Unified modeling language;Object oriented modeling;Programming;Access control;Conferences;Computational modeling","aspect-oriented programming;authorisation","secure role based access control systems;aspect orientation design;extensible security systems;CORBA access control","","1","","20","IEEE","17 Mar 2011","","","IEEE","IEEE Conferences"
"Determine the Resilience of Evaluated Internet Voting Systems","M. Volkamer; R. Grimm","Center for Advanced Security Research Darmstadt, Technical University of Darmstadt, Darmstadt, Germany; Institute for IS Research, University of Koblenz and Landau, Koblenz, Germany","2009 First International Workshop on Requirements Engineering for e-Voting Systems","6 May 2010","2009","","","47","54","Internet voting gets more and more popular. It is generally accepted that an Internet voting system needs to be evaluated. The existing evaluation frameworks try to be as system-independent as possible. Because of that distributed trust concepts like separation of duty for the voting servers, four eyes principle for administrators and the election commission, as well as the multiplicity of control functions like for the counting of votes cannot be demanded precisely. This article proposes to extend the evaluation of Internet voting systems by the computation of a so called k-resilience value. This value defines the robustness of a system and helps to identify vulnerabilities. Besides the introduction and discussion of this value, it is computed for existing Internet voting systems.","","978-0-7695-4100-6","10.1109/RE-VOTE.2009.2","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5460387","","Resilience;Internet;Voting;Nominations and elections;Security;Robustness;Eyes;Electronic mail;Web server;Protection","Internet;public administration","Internet voting system evaluation;k-resilience value;system robustness;vulnerability identification","","12","","13","IEEE","6 May 2010","","","IEEE","IEEE Conferences"
"Combination of duty and historical constraints in role-based access control","A. Hosseini; M. A. Azgomi","ICT Group E-Learning Center, Iran University of Science and Technology, Iran; School of Computer Engineering, Iran University of Science and Technology, Iran","2009 International Conference on Innovations in Information Technology (IIT)","5 Apr 2010","2009","","","309","313","Constraints are an important topic in any access control mechanism. Always, there are demands for defining new constraints or generalizing the existing ones in order to better managing and controlling organizations and specifying new policies. Among access control models, role-based access control (RBAC) is very useful and is continuously under development. In this paper, we propose a new constraint in the RBAC model based on dependent roles that we call combination of duty (CD). Furthermore, static and dynamic types of this constraint are also defined. In addition, these constraints and the two existing constraints in RBAC model (i.e. static and dynamic separation of duty (SD)) are generalized in the base of history as static historical SD, dynamic historical SD, static historical CD and dynamic historical CD.","","978-1-4244-5700-7","10.1109/IIT.2009.5413771","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5413771","","Access control;NIST;History;Electronic learning;Permission","authorisation;cryptography","duty constraint;historical constraint;role-based access control;RBAC model;combination of duty;static historical SD;dynamic historical SD;static historical CD;dynamic historical CD","","","","12","IEEE","5 Apr 2010","","","IEEE","IEEE Conferences"
"Web service provider selection under QoS and security constraints","Li Zhou; Y. Sun","School of Computer Science & Technology, Shandong University, China; School of Computer Science & Technology, Shandong University, China","2009 Joint Conferences on Pervasive Computing (JCPC)","25 Feb 2010","2009","","","273","278","In pervasive computing environment, Web services are widely adopted in dynamic business processes. When selecting service providers, quality of service (QoS) and security constraints should be considered simultaneously. However, most current research works about provider selection either focus on quality of service, or just take into account security constraints. In this paper, we propose an evaluation model for business process, which considers the above two factors at the same time. Two key criterias are introduced to measure the overall cost and benefit of QoS parameters respectively. Typical security constraints, such as separation of duty (SoD) constraints and binding of duty (BoD) constraints, are also considered. We define the service provider selection problem and present a linear programming based solution. Some experiments are performed to evaluate our model and the results show that our approach is effective in solving the problem.","","978-1-4244-5227-9","10.1109/JCPC.2009.5420178","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5420178","Web service provider;Security constraints;Quality of service","Web services;Quality of service;Board of Directors;Computer science;Pervasive computing;Linear programming;Computer security;Sun;Performance evaluation;Collaboration","corporate modelling;linear programming;quality of service;security of data;software quality;ubiquitous computing;Web services","Web service provider selection;QoS;security constraints;quality of service;pervasive computing environment;dynamic business processes;business process evaluation model;separation of duty constraints;binding of duty constraints;service provider selection problem;linear programming based solution","","","","13","IEEE","25 Feb 2010","","","IEEE","IEEE Conferences"
"Web services and role selection in support of separation of duties and binding of duties for composable process execution","S. -Y. Hwang; Y. -C. Chen; Y. Tang","Department of Information Management, National Sun Yat-sen University, Kaohsiung, Taiwan; Department of Information Management, National Sun Yat-sen University, Kaohsiung, Taiwan; Department of Information Management, National Sun Yat-sen University, Kaohsiung, Taiwan","2009 IEEE International Conference on Service-Oriented Computing and Applications (SOCA)","8 Feb 2010","2009","","","1","8","Web services have become the de facto standard as component technologies for quickly composing a business process that satisfies the business goal of an organization. Nowadays, Web services have found its way into describing the functions of automatic tasks as well as human tasks. An important part in the specification of a business process, especially for human tasks, is the access control that constrains who can perform its tasks. This paper considers both types of tasks involved in a Web services-based process and the corresponding access control problem. We focus on two types of access control constraints, namely separation of duties (SoD) and binding of duties (BoD). Both role-level and participant-level of SoDs and BoDs are investigated in this paper. We propose an approach to dynamically choosing the performer for each task so as to satisfy all access control constraints. The proposed performer selection approach is evaluated based on a purchase order scenario and is shown to have the highest chance of satisfying all predefined access control constraints when compared to other methods.","2163-2871","978-1-4244-5300-9","10.1109/SOCA.2009.5410469","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5410469","workflow access control;separation of duties;binding of duties;web services;web service selection","Web services;Humans;Access control;Board of Directors;Specification languages;Information management;Standards organizations;Performance evaluation;Filling;Project management","authorisation;business data processing;Web services","composable process execution;business process composition;Web services-based process;access control constraints;separation of duties;binding of duties;performer selection approach;purchase order scenario","","","1","24","IEEE","8 Feb 2010","","","IEEE","IEEE Conferences"
"Object based dynamic separation of duty in RBAC","M. A. Habib; C. Praher","FIM, Johannes Kepler University Linz, Austria; FIM, Johannes Kepler University Linz, Austria","2009 International Conference for Internet Technology and Secured Transactions, (ICITST)","29 Jan 2010","2009","","","1","5","Role Based Access Control (RBAC) offers tight security of information and ease of management to implement. RBAC is a proven and open ended technology that is being attracted by most of the organizations for its capability to reduce security administration in terms of cost and complexity. The focus of this paper is one of the important factors in RBAC, i.e. Dynamic Separation of Duty (DSD) which is implemented to avoid internal security threats. We discuss DSD from a different perspective i.e. object based separation of duty. Different problems and observations have been described regarding DSD with respect to formal definitions of DSD. Those observations and problems influenced us to go for updated definition of DSD. So, we propose a newly updated definition of DSD. Different examples have been given regarding object based DSD with different scenarios. We also described benefits of implementing newly proposed definition of DSD.","","978-1-4244-5648-2","10.1109/ICITST.2009.5402642","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5402642","","Information security;Access control;Data security;Permission;Costs;Protection;Delay;ANSI standards;Printers","access control;security of data","object based dynamic separation;RBAC duty;role based access control;tight security information;ease management implement;open ended technology;reduce security administration;dynamic separation duty;internal security threats;object based separation;different problems observations;respect formal definitions;newly updated definition;newly proposed definition","","10","","13","IEEE","29 Jan 2010","","","IEEE","IEEE Conferences"
"Global Static Separation of Duty in Multi-domains","X. Ma; R. Li; Z. Lu; J. Lu","College of Computer Science and Technology, Huazhong University of Science and Technology, Wuhan, China; College of Computer Science and Technology, Huazhong University of Science and Technology, Wuhan, China; College of Computer Science and Technology, Huazhong University of Science and Technology, Wuhan, China; College of Computer Science and Technology, Huazhong University of Science and Technology, Wuhan, China","2009 International Conference on Multimedia Information Networking and Security","31 Dec 2009","2009","2","","506","509","Separation of duty (SoD) is an important control principle in computer security. In the context of role-based access control, the static SoD (SSoD) policies can be enforced by statically mutually exclusive roles (SMER) constraints. This paper studies the problem of SSoD in multi-domains in the context of IRBAC model firstly. Then investigates a question related to multi-domains: the global SSoD (GSSoD) policy in order to satisfy the global requirements. It shows that directly enforce the problem is coNP-complete. Finally, enforcing GSSoD policies by the global statically mutually exclusive roles (GSMER) constraints in IRBAC model is given.","2162-8998","978-0-7695-3843-3","10.1109/MINES.2009.117","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5368322","Separation of Duty;global static separation of duty;global statically mutually exclusive roles","Educational institutions;Permission;Computer science;Electronic mail;Computer security;Information security;Access control;Protection;Computer networks;Information technology","authorisation;computational complexity","computer security;role-based access control;global static separation of duty;IRBAC model;coNP-complete;global statically mutually exclusive roles constraints","","","","14","IEEE","31 Dec 2009","","","IEEE","IEEE Conferences"
"Dynamic Enforcement of Separation-of-Duty Policies","J. Lu; R. Li; Z. Lu; Y. Jin","College of Computer Science and Technology, Huazhong University of Science and Technology, Wuhan, China; College of Computer Science and Technology, Huazhong University of Science and Technology, Wuhan, China; College of Computer Science and Technology, Huazhong University of Science and Technology, Wuhan, China; College of Computer Science and Technology, Huazhong University of Science and Technology, Wuhan, China","2009 International Conference on Multimedia Information Networking and Security","31 Dec 2009","2009","2","","394","397","Separation-of-duty (SoD) policy is widely considered to be a fundamental security principle for prevention of fraud and errors in computer security. A static SoD (SSoD) policy states that in order to have all permissions necessary to complete a sensitive task, the cooperation of at least a certain number of users is required. In this paper, we study the problem of dynamic enforcement of SSoD policies in access control systems. We formally define the notion of an SSoD policy, and introduce the problem of dynamic safety checking problem (DSCP) which asks whether an access control state satisfies a given SSoD policy, and show that it is intractable (NP-complete) for directly enforcing SSoD policies in access control. Furthermore, we design and evaluate an improvement algorithm for solving DSCP.","2162-8998","978-0-7695-3843-3","10.1109/MINES.2009.102","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5368259","Separation-of-Duty;dynamic enforcement;access control;computational complexity","Decision making;Information security;Information systems;Bayesian methods;Nash equilibrium;Costs;Computer networks;Protection;Game theory;Multimedia systems","computational complexity;optimisation;security of data","dynamic enforcement;separation-of-duty policies;computer security;dynamic safety checking problem;NP-complete;access control","","","","10","IEEE","31 Dec 2009","","","IEEE","IEEE Conferences"
"A Framework for Database Auditing","L. Liu; Q. Huang","School of Computer Science and Engineering, Key Laboratory of Beijing Network Technology, Beihang University, Beijing, China; School of Computer Science and Engineering, Key Laboratory of Beijing Network Technology, Beihang University, Beijing, China","2009 Fourth International Conference on Computer Sciences and Convergence Information Technology","31 Dec 2009","2009","","","982","986","Database auditing can help strengthen the security of database. In this paper, we present a framework of database auditing, which log the database activities through analyzing network traffic, execute audit analysis through event correlation and generate alarms if an anomaly or a violation of security regulations is detected. Compared with native auditing mechanism in database, our approach has an obvious advantage of providing zero-impact to the performance of the database or the applications that access it. In addition, using third-party auditing component complies with the principle of separation of duties.","","978-1-4244-5244-6","10.1109/ICCIT.2009.207","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5369543","database auditing;logging;audit analysis","Data security;Monitoring;Information security;Spatial databases;Telecommunication traffic;Relational databases;Database systems;Access control;Data engineering;Data analysis","database management systems;security of data","database auditing;database security;network traffic;audit analysis;event correlation;security regulation detection;third-party auditing component","","5","","9","IEEE","31 Dec 2009","","","IEEE","IEEE Conferences"
"A Fuzzy RBAC Model Described by XML-Graph","J. Tian; H. Guo; Y. -X. Wang; Z. Wang","Department of Computer Science and Technology, Dalian University of Technology, Dalian, China; Department of Computer Science and Technology, Dalian University of Technology, Dalian, China; Department of Computer Science and Technology, Dalian University of Technology, Dalian, China; Department of Computer Science and Technology, Dalian University of Technology, Dalian, China","2009 International Conference on Scalable Computing and Communications; Eighth International Conference on Embedded Computing","1 Dec 2009","2009","","","154","159","Due to the rapid increasing of system users, it is becoming a tiresome task for the administrator to assign roles and maintain permissions in traditional RBAC model. In order to simplify the administrator's work and standardize security strategy, human's fuzzy decision-making capability is required. In this paper, an optimized RBAC model based on fuzzy theory is proposed. Bitmap matrix is used for computing role's trustworthiness(RT); Variance is applied to adjust attribute weight vector to improve max-min operation's limitation; Similar users are clustered to share group experience to improve the accuracy of the model; Historical and mutually exclusive permission table for each user is enforced to implement fuzzy RBAC model with separation of duty constraint. Experimental results demonstrate that the optimized model has greater accuracy and avoids the invalidation under special conditions. Additionally, aiming at the limitation of role inheritance and constraint in traditional XML-described RBAC model, a new XML-graph method is introduced. In this method, multi-inheritance is implemented by referencing attributes and private permission is protected by private inheritance. Using XML-graph to describe the improved fuzzy RBAC model, access control strategy can be easily deployed in different systems and the model's application range is largely expanded.","","978-0-7695-3825-9","10.1109/EmbeddedCom-ScalCom.2009.36","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5341567","Fuzzy;RBAC;Bitmap Matrix;clustering;separation of duty;XML-graph","Access control;Permission;Fuzzy systems;XML;Embedded computing;Security;Decision making;Protection;Fuzzy control;Helium","authorisation;decision making;fuzzy set theory;minimax techniques;XML","fuzzy RBAC model;security strategy standardization;optimized RBAC model;Bitmap matrix;max-min operation limitation improvement;historical exclusive permission table;duty constraint separation;XML graph method;multi-inheritance method;role based access control strategy;role trustworthiness;human fuzzy decision making capability","","","","12","IEEE","1 Dec 2009","","","IEEE","IEEE Conferences"
"A directed acyclic graph based detection for rbac based secure interoperation","X. Chen; M. Zhu","College of Computer Science, University of Zhejiang, Hangzhou, China; College of Computer Science, University of Zhejiang, Hangzhou, China","2009 IEEE 6th International Conference on Mobile Adhoc and Sensor Systems","17 Nov 2009","2009","","","759","764","Collaboration enables domains to share resources effectively; however it introduces several security and privacy challenges. To guarantee the secure interoperation in complex distributed environment, a RBAC based secure interoperation model was proposed. Based on the inherent characteristic of the RBAC system, a directed acyclic graph based detection method of security violation was investigated. We also classified the conflicts according to the feature of each four parts of NITS RBAC model: conflicts resulting from unrelated roles, conflicts that arise from related roles and conflicts due to separation of duty. The targeted detection method for different types of conflicts was illustrated systematically. Therefore corresponding detection method can be applied to different types of conflicts according to the actual application environment. Furthermore, we analyzed the algorithmic complexity of the method and demonstrated the application of the directed acyclic graph based detection method with case studies in realistic scenarios.","2155-6814","978-1-4244-5113-5","10.1109/MOBHOC.2009.5336922","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5336922","Directed Acyclic Graph;RBAC;Security Interoperation;Conflict Detection","Access control;Information security;Power system modeling;Power system security;Educational institutions;Computer science;Computer security;Application software;Algorithm design and analysis;Privacy","authorisation;computational complexity;data privacy;directed graphs;open systems","directed acyclic graph based detection;RBAC based secure interoperation model;complex distributed environment;security violation;algorithmic complexity;role-based access control;privacy","","","3","17","IEEE","17 Nov 2009","","","IEEE","IEEE Conferences"
"On Role Mappings for RBAC-Based Secure Interoperation","J. Hu; R. Li; Z. Lu","Intelligent and Distributed Computing Lab, College of Computer Science and Technology, Huazhong University of Science and Technology, Wuhan, China; Intelligent and Distributed Computing Lab, College of Computer Science and Technology, Huazhong University of Science and Technology, Wuhan, China; Intelligent and Distributed Computing Lab, College of Computer Science and Technology, Huazhong University of Science and Technology, Wuhan, China","2009 Third International Conference on Network and System Security","10 Nov 2009","2009","","","270","277","The inter-domain role mapping is a basic method for facilitating interoperation in RBAC-based collaborating environments, where each domain employs role based access control (RBAC) to specify access control policies. Prior to concrete interoperation, one important problem is to establish role mappings. Two issues are involved in the establishing process. The first one is to generate role mappings while respecting RBAC states such as separation of duty (SoD) constraints. On the other hand, administrative works of RBAC policies are sometimes needed to generate mappings. This paper investigates these two problems, mostly from the computational perspective. In particular, we study how to find a set of roles appropriate for mappings and how to fulfill interoperation requests; it turns out that most of corresponding problems are NP-complete. Further, several useful subcases of these problems are identified. We also motivate and support partial interoperation by imposing constraints on interoperation requests. When administrative works are necessary, we examine how to minimize administrative cost; the result is that one subcase of the problem reduces to the ""minimal set cover"" (MSC) problem. We demonstrate that approaches to MSC can be applied to this problem, even though they are not totally equivalent. Finally, a discussion on how administrative operations made to RBAC states may influence interoperability is presented as well.","","978-1-4244-5087-9","10.1109/NSS.2009.76","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5319036","role mappings;secure interoperation;RBAC;administration","Access control;Permission;Computer security;Concrete;Intelligent networks;Distributed computing;Educational institutions;Computer science;International collaboration;Costs","authorisation;graph theory;groupware;minimisation;open systems;set theory","inter-domain role mapping;RBAC-based secure interoperation;collaborating environment;role based access control;separation of duty constraint;SoD;NP-complete problem;administrative cost minimization;minimal set cover problem;interoperability","","8","","27","IEEE","10 Nov 2009","","","IEEE","IEEE Conferences"
